epoch,time_per_epoch,train_mse,train_kld,train_traj,train_prior,train_psi,test_mse,test_kld
1,1.9016261100769043,1.7906977789742606,0.1288783379963466,2.042958770479475,0.08088407026869911,1.0004127877099174,1.7561099721711848,0.14368816635533832
2,0.77425217628479,1.5787452629634313,0.13452482649258204,2.0645996502467563,0.07080907374620438,1.000619079385485,1.5337063662139825,0.1476986763723228
3,0.7650198936462402,1.479995948927743,0.1438378095626831,2.0508657353264943,0.06473212529506002,1.000032833644322,1.4401210942075926,0.17087285133755262
4,0.759465217590332,1.3873200246265955,0.15599170327186584,2.071328980582101,0.060516104102134705,0.9985312564032418,1.3599245703273823,0.19573969203527733
5,0.7841644287109375,1.2944589512688773,0.17104523522513254,2.095011353492737,0.05925249574439866,0.9965546727180481,1.2768793528390037,0.21884735790603363
6,0.7769119739532471,1.20645957333701,0.18907699840409414,2.029389807156154,0.04893103348357337,0.9954992617879596,1.2112953962231965,0.2431413811284865
7,0.8033201694488525,1.1274268456867762,0.20943052640983037,1.9988777126584734,0.04808232028569494,0.9927767430033002,1.1366236776514438,0.2656865206801838
8,0.8041019439697266,1.0582450798579626,0.23101749377591269,1.9527908052716936,0.04435586077826364,0.9896829724311829,1.0836827626677372,0.28556263794278886
9,0.8289332389831543,1.0028171709605627,0.25273189161505016,1.8764100926262992,0.044632820678608756,0.9858812689781189,1.0306655975735242,0.3020310523531362
10,0.7993593215942383,0.9558893697602409,0.27376060826437815,1.8032631363187517,0.03624770737120083,0.983254040990557,0.9862705613465587,0.315822468611157
11,0.7870972156524658,0.9151603920119149,0.2936736728463854,1.7127841711044312,0.03617221915296146,0.9783741746629987,0.9400342203041898,0.3291924398041627
12,0.8107180595397949,0.881125169140952,0.31289961082594736,1.6448057719639368,0.026715572125145366,0.9752713526998248,0.9068020790681711,0.3422606125006227
13,0.7920722961425781,0.8493785858154297,0.3324184460299356,1.5878303050994873,0.028217194069709097,0.9700418795858111,0.8700702925434027,0.35874636959067374
14,0.7855801582336426,0.8185007912772042,0.35206297039985657,1.5150687524250575,0.02701347747019359,0.9661561591284615,0.8340132741650124,0.3737417740137588
15,0.8128073215484619,0.7937710625784737,0.3714621237346104,1.4943190131868636,0.030415300279855728,0.9613715069634574,0.8093616406479224,0.3892750196125475
16,0.8099298477172852,0.7731469103268215,0.38998898438044954,1.4394195420401437,0.023834920887436186,0.9557639360427856,0.7867875251534808,0.40372414252148614
17,0.7924587726593018,0.7527599590165275,0.4082882148878915,1.38316810131073,0.018673558852502277,0.9516316652297974,0.7694422763024745,0.41759684762078014
18,0.7968490123748779,0.7380087631089347,0.4253461999552591,1.341320242200579,0.017747795874519006,0.9462411233357021,0.7491630970629876,0.42923759598903055
19,0.7818999290466309,0.7230101142610822,0.4412261077335903,1.3654660667691911,0.018807372211345603,0.9411881651197161,0.7362051726456715,0.44165517329635107
20,0.78387451171875,0.7115118162972587,0.4558998090880258,1.3239865132740565,0.01349111127534083,0.9353518911770412,0.7229847033996754,0.45296629661936394
21,0.8081021308898926,0.7002136792455401,0.4694194197654724,1.296885303088597,0.013495146696056639,0.9282739503043038,0.7113358498688771,0.46278522046692167
22,0.8082330226898193,0.6891914350645882,0.4822489150932857,1.2503867319652013,0.013409080382968699,0.9241947787148612,0.7024791534706082,0.4731199381864659
23,0.8069944381713867,0.6812167167663574,0.4939928012234824,1.2214976378849574,0.014453543416623558,0.9182236875806536,0.693866690445374,0.4826707175761595
24,0.8221495151519775,0.6727870276996067,0.5052912831306458,1.1969571283885412,0.013203005838607038,0.9133258717400687,0.6867812674141786,0.49207094832920706
